bangdinh2mattrang1cm,Băng dính 2 mặt trắng dày 1cm,Vật tư hàng hóa,,,0.00 ,Kho HH,145.00 ,2858220
bangdinhduc5cm,Băng dính đục 5cm,Vật tư hàng hóa,,,0.00 ,Kho HH,19.00 ,270000
bangdinhgiay2cm,Băng dính giấy 2cm dầy đại,Vật tư hàng hóa,,,0.00 ,Kho HH,324.00 ,5287500
bangdinhtrang2cmday,Băng dính 2 mặt trắng 2cm dày đại,Vật tư hàng hóa,,,0.00 ,Kho HH,196.00 ,1821000
bangdinhvai5cm,Băng dính vải 5cm,Vật tư hàng hóa,,,0.00 ,Kho HH,66.00 ,1800000
bangdinhvp1.8cm,Băng dính VP 1.8cm,Vật tư hàng hóa,,,0.00 ,Kho HH,67.00 ,100000
bangdinhvp1cm,Băng dính văn phòng nhỏ 1cm,Vật tư hàng hóa,,,0.00 ,Kho HH,563.00 ,1124376
bangdinhxanhtron5cm,Băng dính xanh trơn 5cm,Vật tư hàng hóa,,,0.00 ,Kho HH,41.00 ,667120
bangdinhxitrung5cm,Băng dính xi trung 5cm,Vật tư hàng hóa,,,0.00 ,Kho HH,41.00 ,2249904
bangdinhxop2mat,Băng dính xốp 2 mặt dày,Vật tư hàng hóa,,,0.00 ,Kho HH,301.00 ,8115029
banghs,Bảng Học sinh,Vật tư hàng hóa,,,0.00 ,,3.00 ,18000
bangiasw8173,Máy bắn giá Sunwood 8 số 8173,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,289000
bangnoila,Bảng nói lá,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,690000
bangtam,Bảng tấm,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,1330000
bangtrang1.2*2.2,Bảng trắng 1.2*2.2,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,4778000
bangtu 1.2*2 trang,Bảng từ trắng 1.2*2,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,384000
bangtu 1.2*3,Bảng từ trắng 1.2*3,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,1116000
bangtu1.2*3.2,Bảng từ trắng 1.2*3.2,Vật tư hàng hóa,,,0.00 ,Kho HH,2.00 ,3432600
bangtutrang 1.2*1.5,Bảng từ trắng 1.2*1.5,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,2304000
bangtutrang1.2*2.4,Bảng từ trắng 1.2*2.4,Vật tư hàng hóa,,,0.00 ,,1.00 ,2679000
bangtuxanh1.2*2.4,Bảng từ xanh 1.2*2.4HQ,Vật tư hàng hóa,,,0.00 ,Kho HH,7.00 ,6163000
bangxanh1.2*15,Bảng xanh 1.2*1.5 có chân,Vật tư hàng hóa,,,0.00 ,Kho HH,(4.00),3112000
bangxanh1.2*30,Bảng xanh 1.2*3,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,2149000
bangxoaDAnho,Băng xóa Double A nhỏ,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,56000
bangxoadoiDA,Băng xóa Double A 12mm đôi,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,192000
bangxoaplusto,Băng xóa Plus to,Vật tư hàng hóa,,,0.00 ,Kho HH,6.00 ,145000
banlecuakinh,Bản lề cửa kính,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,1500000
bạt xe đap,Bạt đua xe đạp,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,0
